               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079959,            0.056399,             0.01593,             0.59939,             0.59215,             0.60865,             0.24647,             0.05225,            0.044386,           0.0063953,           0.0033266,           0.0033266,            0.070061
                   1,             0.06085,            0.048492,           0.0060434,              0.6836,             0.62287,             0.66026,             0.29222,            0.046408,            0.043858,           0.0048204,           0.0063852,           0.0063852,            0.039786
                   2,            0.055168,             0.04801,           0.0051451,             0.76793,             0.67497,             0.74215,             0.33832,            0.045122,            0.042349,            0.004283,           0.0091688,           0.0091688,           0.0092365
                   3,             0.05021,            0.046343,            0.004518,             0.76607,             0.65785,             0.73215,             0.35041,             0.04289,            0.044256,           0.0042709,           0.0087625,           0.0087625,           0.0087625
                   4,            0.046768,            0.045886,           0.0039512,             0.78739,             0.65023,             0.74574,             0.37189,             0.04137,            0.043179,           0.0036867,           0.0087625,           0.0087625,           0.0087625
                   5,            0.045176,            0.045312,           0.0036029,             0.78929,              0.6622,             0.74388,              0.3737,            0.041275,            0.042931,           0.0043124,             0.00835,             0.00835,             0.00835
                   6,            0.043868,            0.044822,            0.003308,             0.83436,             0.67732,              0.7723,             0.39568,             0.04008,            0.041441,            0.003018,           0.0079375,           0.0079375,           0.0079375
                   7,            0.043261,            0.044116,           0.0031331,             0.79563,             0.73115,             0.79497,             0.40187,            0.039708,            0.041347,           0.0028082,            0.007525,            0.007525,            0.007525
                   8,            0.042349,            0.043748,           0.0030631,             0.80747,             0.69443,             0.78657,             0.40637,            0.039112,            0.041518,           0.0033157,           0.0071125,           0.0071125,           0.0071125
                   9,            0.041666,            0.043082,            0.002831,             0.83352,             0.69854,              0.7824,             0.40233,            0.038695,            0.041234,            0.002844,              0.0067,              0.0067,              0.0067
                  10,            0.041094,            0.042735,           0.0028034,             0.81883,              0.6943,             0.77618,             0.38925,            0.039939,            0.041555,           0.0028972,           0.0062875,           0.0062875,           0.0062875
                  11,            0.040676,            0.042503,           0.0026792,             0.81051,             0.70178,             0.78283,             0.39413,            0.039037,            0.040994,           0.0031092,            0.005875,            0.005875,            0.005875
                  12,            0.040345,            0.042152,           0.0027294,             0.83192,             0.68831,             0.77158,             0.40022,            0.039317,            0.040902,           0.0027463,           0.0054625,           0.0054625,           0.0054625
                  13,            0.039954,            0.041773,           0.0025003,             0.80493,              0.7214,             0.78136,             0.40467,            0.038578,            0.041166,           0.0027095,             0.00505,             0.00505,             0.00505
                  14,            0.039386,            0.041005,           0.0024147,             0.83693,             0.70158,             0.79325,             0.40604,            0.038639,            0.040724,           0.0024669,           0.0046375,           0.0046375,           0.0046375
                  15,            0.039066,             0.04094,           0.0023776,             0.82003,             0.71963,             0.78986,             0.40762,            0.038639,            0.040808,           0.0026069,            0.004225,            0.004225,            0.004225
                  16,            0.038802,            0.040624,           0.0023728,             0.82996,             0.70239,             0.78332,             0.40417,            0.038946,            0.041007,           0.0027396,           0.0038125,           0.0038125,           0.0038125
                  17,            0.038608,            0.040501,            0.002317,             0.85151,             0.68608,             0.78162,             0.40321,            0.038752,            0.041134,            0.002565,              0.0034,              0.0034,              0.0034
                  18,            0.038267,            0.040704,           0.0022391,             0.80767,             0.72584,             0.78818,             0.41496,            0.038422,             0.04076,           0.0024861,           0.0029875,           0.0029875,           0.0029875
                  19,            0.038115,            0.039802,           0.0022209,              0.8288,             0.71912,             0.79356,             0.41302,             0.03829,            0.040866,           0.0026223,            0.002575,            0.002575,            0.002575
                  20,            0.037924,            0.040327,           0.0022038,             0.82494,             0.71529,             0.78652,             0.41142,            0.038161,            0.040717,           0.0026322,           0.0021625,           0.0021625,           0.0021625
                  21,             0.03767,            0.039845,           0.0021439,             0.82071,              0.7235,             0.78946,             0.41554,            0.038079,            0.040774,           0.0024583,             0.00175,             0.00175,             0.00175
                  22,            0.037464,            0.039481,            0.002107,             0.82707,              0.7225,             0.79304,             0.41978,            0.037944,            0.040515,           0.0024891,           0.0013375,           0.0013375,           0.0013375
                  23,            0.037284,            0.039134,            0.002051,             0.82987,             0.71497,             0.79651,             0.41884,            0.037788,            0.040549,           0.0024138,            0.000925,            0.000925,            0.000925
